Metabolite	proportion_medium	medium	SampleName	Compartment	Conc	unit
EX_cpd00010_e0	100	corn	Corn5-3	Gizzard	2.2843635448148e-10	mM
EX_cpd00010_e0	100	wheat	Wheat11-1	Gizzard	3.69526918633566e-10	mM
EX_cpd00010_e0	100	wheat	Wheat11-2	Gizzard	4.27326733536642e-10	mM
EX_cpd00010_e0	100	wheat	Wheat11-3	Gizzard	4.45795158391262e-10	mM
EX_cpd00010_e0	100	wheat	Wheat9-1	Gizzard	4.9249191198365e-10	mM
EX_cpd00010_e0	100	wheat	Wheat9-2	Gizzard	7.73196695406254e-10	mM
EX_cpd00010_e0	100	corn	Corn10-1	Ileum	3.01827241278466e-08	mM
EX_cpd00010_e0	100	corn	Corn10-2	Ileum	2.02116393966493e-08	mM
EX_cpd00010_e0	100	corn	Corn5-1	Ileum	1.39567013619468e-08	mM
EX_cpd00010_e0	100	corn	Corn5-2	Ileum	2.6838910641637e-08	mM
